,channelTitle,videoTitle,videoView,videoLike,videoDislike,videoComment,publishedAt,publishedAt_string,Year,Month,DayofWeek,publishedAt_month,Month_str
243,Schannel,󠀀Sếp Huy chi 10 Triệu mua Tôm Hùm tặng các thành viên Schannel,143877,3930,46,81,20-02-24,2020-02-24,2020,2,Mon,2020-02,Feb
244,Schannel,Bản tin Corona #17 : Dịch lan tràn ở HQ | Thu gom 600kg khẩu trang qua sử dụng,171548,4944,56,389,20-02-24,2020-02-24,2020,2,Mon,2020-02,Feb
245,Schannel,"S News t3/T2: Galaxy Z Flip kính hay nhựa, Cảnh báo mã độc ăn theo virus Covid-19",164186,3735,87,239,20-02-23,2020-02-23,2020,2,Sun,2020-02,Feb
246,Schannel,"󠀀󠀀NTN bỏ Youtube vì thấy tụt dốc | MV “ON"" của BTS đạt 50 triệu views trong 1 ngày ! - GNCN 22/2",221572,7417,138,728,20-02-22,2020-02-22,2020,2,Sat,2020-02,Feb
247,Schannel,Bản tin Corona#16: Hàn Quốc thành ổ dịch mới | Quốc tế đánh giá cao VN chống dịch | HS SV đi học 2/3,396278,9052,118,1063,20-02-22,2020-02-22,2020,2,Sat,2020-02,Feb
248,Schannel,Cả ngày ăn chơi và shopping ở Mỹ cùng Chi Sally,95253,2839,24,115,20-02-22,2020-02-22,2020,2,Sat,2020-02,Feb
249,Schannel,"Tóc Tiên lần đầu nói về đám cưới bí mật | BTS chính thức comeback với  “ON"" - GNCN 21/2",124024,4520,50,372,20-02-21,2020-02-21,2020,2,Fri,2020-02,Feb
250,Schannel,Lần đầu Orange đến Schannel Reaction Chân Ái : Tiết lộ chuyện kinh dị khi quay MV !,333588,9484,89,324,20-02-21,2020-02-21,2020,2,Fri,2020-02,Feb
251,Schannel,"#TeamUT | Bánh Mỳ, Pizza Thanh Long đã có ở Hà Nội: Cực lạ mà vẫn ý nghĩa !",194278,5649,59,250,20-02-21,2020-02-21,2020,2,Fri,2020-02,Feb
252,Schannel,Vlog Tân Sơn: Lần đầu Thử làm bartender và cái kết !,222740,6685,50,252,20-02-23,2020-02-23,2020,2,Sun,2020-02,Feb
253,Schannel,MV K-ICM đạt kỉ lục dislike vẫn leo Top Trending | Tóc Tiên rạng rỡ trong đám cưới - GNCN 20/2,219176,5415,84,276,20-02-20,2020-02-20,2020,2,Thu,2020-02,Feb
254,Schannel,"1 Ngày làm sếp Schannel HCM: Bảo vệ két sắt 1 Tỷ đầy nguy hiểm, gian nan dùng Huawei Mate 30 Pro",335289,5073,201,264,20-02-20,2020-02-20,2020,2,Thu,2020-02,Feb
